,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status,Provincial Parliament,Address
0,"501 Belleville St, Victoria, BC V8V 2L8, Canada",48.419617,-123.370285,"48.419617,-123.370285",ROOFTOP,ChIJjZkN3pZ0j1QR6QeAPIhU0OM,street_address,V8V 2L8,"501 Belleville St, Victoria, BC V8V 2L8",1,OK,BC,"501 Belleville St, Victoria, BC V8V 2L8"
1,"Legislature Building, 10800 97 Ave NW, Edmonton, AB T5K 2B6, Canada",53.5334764,-113.5066378,"53.5334764,-113.5066378",ROOFTOP,ChIJ45SDFDwioFMR7X728p0WXtY,premise,T5K 2B6,"10800 97 Ave NW, Edmonton, AB T5K 2B6",1,OK,AB,"10800 97 Ave NW, Edmonton, AB T5K 2B6"
2,"450 Broadway, Winnipeg, MB R3C, Canada",49.8861418,-97.1452309,"49.8861418,-97.1452309",RANGE_INTERPOLATED,EiI0NTAgQnJvYWR3YXksIFdpbm5pcGVnLCBNQiwgQ2FuYWRhIhsSGQoUChIJG_szc1Zx6lIRqF-3AdftTX8QwgM,street_address,R3C,"450 Broadway, Winnipeg, MB R3C 0V8",1,OK,MB,"450 Broadway, Winnipeg, MB R3C 0V8"
3,"2405 Legislative Dr, Regina, SK S4S 0B3, Canada",50.4324892,-104.6152067,"50.4324892,-104.6152067",ROOFTOP,ChIJU86cXBgeHFMRk8wKDFaQXG4,street_address,S4S 0B3,"2405 Legislative Dr, Regina, SK S4S 0B3",1,OK,SK,"2405 Legislative Dr, Regina, SK S4S 0B3"
4,"111 Wellesley St W, Toronto, ON M7A 1A5, Canada",43.6622891,-79.3915068,"43.6622891,-79.3915068",ROOFTOP,ChIJGS4z4bk0K4gRPr31yezDrxk,street_address,M7A 1A5,"111 Wellesley St W, Toronto, ON M7A 1A2",1,OK,ON,"111 Wellesley St W, Toronto, ON M7A 1A2"
5,"1045 Rue des Parlementaires, Québec, QC G1A 1A3, Canada",46.808706,-71.2141788,"46.808706,-71.2141788",ROOFTOP,ChIJb7O4NtiVuEwROoa3BZWSsLA,"establishment,point_of_interest,tourist_attraction",G1A 1A3,"1045 Rue des Parlementaires, QuÃ©bec, QC G1A 1A3",2,OK,QC,"1045 Rue des Parlementaires, Québec, QC G1A 1A3"
6,"1726 Hollis St, Halifax, NS B3J, Canada",44.6479459,-63.5733489,"44.6479459,-63.57334890000001",ROOFTOP,ChIJIwSm_cwjWksRLuGiD9KmspQ,premise,B3J,"1726 Hollis St, Halifax, NS B3J 2Y3",1,OK,NS,"1726 Hollis St, Halifax, NS B3J 2Y3"
7,"165 Richmond St, Charlottetown, PE C1A 1J1, Canada",46.2349926,-63.1260783,"46.2349926,-63.1260783",ROOFTOP,ChIJqUKFFuFSXksRb5kG8IiuN9k,premise,C1A 1J1,"165 Richmond St, Charlottetown, PE C1A 1J1",1,OK,PEI,"165 Richmond St, Charlottetown, PE C1A 1J1"
8,"100 Prince Philip Dr, St. John's, NL A1B 3R4, Canada",47.5831912,-52.7242471,"47.58319119999999,-52.7242471",ROOFTOP,ChIJIVl8UvGjDEsR_eCNIQqc5qE,street_address,A1B 3R4,"100 Prince Philip Dr, St. John's, NL A1B 3R4",1,OK,NL,"100 Prince Philip Dr, St. John's, NL A1B 3R4"
9,"New Brunswick Legislative Building, 706 Queen St, Fredericton, NB E3B 1C5, Canada",45.9593069,-66.636281,"45.9593069,-66.63628100000001",ROOFTOP,ChIJdSkE6qYYpEwR8eOcHsapFWo,premise,E3B 1C5,"706 Queen St, Fredericton, NB E3B 1C5",1,OK,NB,"706 Queen St, Fredericton, NB E3B 1C5"
