District name,Primary role,Name,First name,Last name,Address,,formatted_address,,,latitude,longitude,coordinates,accuracy,google_place_id,,type,postcode,input_string,number_of_results,status,distance from Newfound parli.
Baie Verte—Green Bay,MHA,Brian Warr,Brian,Warr,A0J 1T0,0,"Beachside, NL A0J 1T0, Canada",,,49.498851,-56.0687389,"49.498851,-56.0687389",APPROXIMATE,ChIJwb8IdNfTeUsRE9-DJeRzoWA,,postal_code,A0J 1T0,A0J 1T0,1,OK,3751.826
Bonavista,MHA,Craig Pardy,Craig,Pardy,A0C 1B0,1,"Bonavista, NL A0C 1B0, Canada",,,48.6250935,-53.1444764,"48.6250935,-53.14447639999999",APPROXIMATE,ChIJjTnxeVmpdUsRcqbi-IElz14,,postal_code,A0C 1B0,A0C 1B0,1,OK,4159.92
Burgeo—La Poile,MHA,Andrew Parsons,Andrew,Parsons,A0M 1C0,2,"Channel-Port aux Basques, NL A0M 1C0, Canada",,,47.5879849,-59.0582387,"47.5879849,-59.05823869999999",APPROXIMATE,ChIJ80QgPXKkZUsRq_E_a4KdHws,,postal_code,A0M 1C0,A0M 1C0,1,OK,3366.07
Burin—Grand Bank,MHA,Carol Anne Haley,Carol Anne,Haley,A0E 1P0,3,"Fortune, NL A0E 1P0, Canada",,,47.0743521,-55.8398453,"47.0743521,-55.8398453",APPROXIMATE,ChIJiQTvNpyFbUsR4vOqMTUQWJU,,postal_code,A0E 1P0,A0E 1P0,1,OK,4309.866
Cape St. Francis,MHA,Kevin Parsons,Kevin,Parsons,A1B 4J6,4,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Carbonear—Trinity—Bay de Verde,MHA,Steve Crocker,Steve,Crocker,A1Y 1A6,5,"Carbonear, NL A1Y 1A6, Canada",,,47.7156114,-53.2372147,"47.7156114,-53.2372147",APPROXIMATE,ChIJm9CoFMVRc0sRO9O9nqbdlJs,,postal_code,A1Y 1A6,A1Y 1A6,1,OK,4226.474
Cartwright—L'Anse au Clair,MHA,Lisa Dempster,Lisa,Dempster,A0K 2P0,6,"Forteau, NL A0K 2P0, Canada",,,51.4810116,-56.891801,"51.4810116,-56.891801",APPROXIMATE,ChIJT-Vv2gUEgUsRzXmnXVlxw2E,,postal_code,A0K 2P0,A0K 2P0,1,OK,3984.296
Conception Bay East—Bell Island,MHA,David Brazil,David,Brazil,A1B 4J6,7,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Conception Bay South,MHA,Barry Petten,Barry,Petten,A1W 3A6,8,"Conception Bay South, NL A1W 3A6, Canada",,,47.518959,-52.9591174,"47.518959,-52.9591174",APPROXIMATE,ChIJYXxJHhi6DEsRal5F14Cp18U,,postal_code,A1W 3A6,A1W 3A6,1,OK,4246.307
Corner Brook,MHA,Gerry Byrne,Gerry,Byrne,A2H 6J8,9,"Corner Brook, NL A2H 6J8, Canada",,,48.9552717,-57.9437245,"48.9552717,-57.94372449999999",APPROXIMATE,ChIJm6gHwvCxe0sRcp2FE3aNkZQ,,postal_code,A2H 6J8,A2H 6J8,1,OK,3579.32
Exploits,MHA,Pleaman Forsey,Pleaman,Forsey, A0H 1C0,10,"Bishop's Falls, NL A0H 1C0, Canada",,,48.7807839,-55.3675915,"48.7807839,-55.3675915",APPROXIMATE,ChIJQbSz0R89d0sRooRi5u5Sdec,,postal_code,A0H 1C0, A0H 1C0,1,OK,3894.385
Ferryland,MHA,Loyola O'Driscoll,Loyola,O'Driscoll,A0A 2H0,11,"Ferryland, NL A0A 2H0, Canada",,,47.0368525,-52.8879459,"47.03685249999999,-52.8879459",APPROXIMATE,ChIJ_4X1iuMBDUsRK1xViZ9j6EY,,postal_code,A0A 2H0,A0A 2H0,1,OK,4280.35
Fogo Island—Cape Freels,MHA,Derrick Bragg,Derrick,Bragg,A0G 4R0,12,"Wesleyville, NL A0G 4R0, Canada",,,49.1533435,-53.5611615,"49.1533435,-53.5611615",APPROXIMATE,ChIJ3wpmHpXhdUsRtvxkN2voyek,,postal_code,A0G 4R0,A0G 4R0,1,OK,4053.533
Fortune Bay—Cape La Hune,MHA,Elvis Loveless,Elvis,Loveless,A0H 2P0,13,"Newfoundland and Labrador A0H, Canada",,,49.104051,-56.468182,"49.104051,-56.468182",APPROXIMATE,ChIJSw4l-sXkcEsRdwfT_BMFpAw,,"postal_code,postal_code_prefix",A0H,A0H 2P0,1,OK,0
Gander,MHA,John Haggie,John,Haggie,A1V 1T5,14,"Gander, NL A1V 1T5, Canada",,,48.9590259,-54.6137918,"48.9590259,-54.6137918",APPROXIMATE,ChIJy0DlUfTydksRegdY3OrjAvM,,postal_code,A1V 1T5,A1V 1T5,1,OK,3928.726
Grand Falls-Windsor—Buchans,MHA,Chris Tibbs,Chris,Tibbs,A2A 1W9,15,"Grand Falls-Windsor, NL A2A 1W9, Canada",,,48.9389423,-55.6621003,"48.9389423,-55.6621003",APPROXIMATE,ChIJVUrI6W86d0sRhIVerF87t14,,postal_code,A2A 1W9,A2A 1W9,1,OK,3834.737
Harbour Grace—Port de Grave,MHA,Pam Parsons,Pam,Parsons,A1B 4J6,16,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Harbour Main,MHA,Helen Conway Ottenheimer,Helen Conway,Ottenheimer,A0A 2R0,17,"Holyrood, NL A0A 2R0, Canada",,,47.3727312,-53.1159058,"47.3727312,-53.1159058",APPROXIMATE,ChIJV5z4HrTEDEsRKmsPp_LcQXg,,postal_code,A0A 2R0,A0A 2R0,1,OK,4218.872
Humber—Bay of Islands,MHA,Eddie Joyce,Eddie,Joyce,A2H 6J8,18,"Corner Brook, NL A2H 6J8, Canada",,,48.9552717,-57.9437245,"48.9552717,-57.94372449999999",APPROXIMATE,ChIJm6gHwvCxe0sRcp2FE3aNkZQ,,postal_code,A2H 6J8,A2H 6J8,1,OK,3579.32
Humber—Gros Morne,MHA,Andrew Furey,Andrew,Furey,A8A 2G5,19,"Deer Lake, NL A8A 2G5, Canada",,,49.1888527,-57.4138888,"49.1888527,-57.41388879999999",APPROXIMATE,ChIJKVTBhPsseksR6dYlwtAhV9A,,postal_code,A8A 2G5,A8A 2G5,1,OK,3626.667
Labrador West,MHA,Jordan Brown,Jordan,Brown,A0R 1B0,20,"Wabush, NL A0R 1B0, Canada",,,52.886688,-66.8605399,"52.886688,-66.86053989999999",APPROXIMATE,ChIJSyXu8xe1ikwR-M0orZC4kGI,,postal_code,A0R 1B0,A0R 1B0,1,OK,3005.373
Lake Melville,MHA,Perry Trimper,Perry,Trimper,A0P 1E0,21,"Happy Valley-Goose Bay, NL A0P 1E0, Canada",,,53.298578,-60.3327649,"53.298578,-60.33276490000001",APPROXIMATE,ChIJqViMlJB5e0wRZyxVrSnlzD0,,postal_code,A0P 1E0,A0P 1E0,1,OK,3525.868
Lewisporte—Twillingate,MHA,Derek Bennett,Derek,Bennett,A0G 3A0,22,"Lewisporte, NL A0G 3A0, Canada",,,49.1325316,-55.2250193,"49.1325316,-55.2250193",APPROXIMATE,ChIJ3TVJVaQHd0sR9JiTw5BR8IE,,postal_code,A0G 3A0,A0G 3A0,1,OK,3883.482
Mount Pearl North,MHA,Jim Lester,Jim,Lester,A1B 4J6,23,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Mount Pearl—Southlands,MHA,Paul Lane,Paul,Lane,A1B 4J6,24,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Mount Scio,MHA,Sarah Stoodley,Sarah,Stoodley,A1B 4J6,25,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Placentia West—Bellevue,MHA,Jeff Dwyer,Jeff,Dwyer,A1B 4J6,26,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Placentia—St. Mary's,MHA,Sherry Gambin-Walsh,Sherry,Gambin-Walsh, A0B 2Y0,27,"Placentia, NL A0B 2Y0, Canada",,,47.085127,-53.8898452,"47.085127,-53.8898452",APPROXIMATE,ChIJdY7lxQzOcksR0hBHfUYZjiw,,postal_code,A0B 2Y0, A0B 2Y0,1,OK,0
St. Barbe—L'Anse aux Meadows,MHA,Christopher Mitchelmore,Christopher,Mitchelmore,A1B 4J6,28,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
St. George's—Humber,MHA,Scott Reid,Scott,Reid,A1B 4J6,29,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
St. John's Centre,MHA,James Dinn,James,Dinn,,30,"800 W Laurel St, Independence, KS 67301, USA",,,37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,,"doctor,establishment,health,point_of_interest",67301,,1,OK,678.934
St. John's East—Quidi Vidi,MHA,Alison Coffin,Alison,Coffin,,31,"800 W Laurel St, Independence, KS 67301, USA",,,37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,,"doctor,establishment,health,point_of_interest",67301,,1,OK,678.934
St. John's West,MHA,Siobhan Coady,Siobhan,Coady, A1B 4J6,32,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6, A1B 4J6,1,OK,4259.065
Stephenville—Port au Port,MHA,Tony Wakeham,Tony,Wakeham,A2N 3J3,33,"Stephenville, NL A2N 3J3, Canada",,,48.5448468,-58.5791599,"48.54484679999999,-58.57915989999999",APPROXIMATE,ChIJZ8-SBDAje0sRYecPARNw6_0,,postal_code,A2N 3J3,A2N 3J3,1,OK,3523.718
Terra Nova,MHA,Lloyd Parrott,Lloyd,Parrott,A5A 1T5,34,"Clarenville, NL A5A 1T5, Canada",,,48.1645638,-53.9903632,"48.1645638,-53.9903632",APPROXIMATE,ChIJ4SczEHZ4dEsRllEP4gzIEmI,,postal_code,A5A 1T5,A5A 1T5,1,OK,4071.641
Topsail—Paradise,MHA,Paul Dinn,Paul,Dinn,A1L 0V8,35,"Paradise, NL A1L 0V8, Canada",,,47.544021,-52.8695139,"47.544021,-52.86951389999999",APPROXIMATE,ChIJ51TmdCG7DEsRG4-Muo8WpxA,,postal_code,A1L 0V8,A1L 0V8,1,OK,4251.631
Torngat Mountains,MHA,Lela Evans,Lela,Evans,,36,"800 W Laurel St, Independence, KS 67301, USA",,,37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,,"doctor,establishment,health,point_of_interest",67301,,1,OK,678.934
Virginia Waters—Pleasantville,MHA,Bernard Davis,Bernard,Davis,A1B 4J6,37,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6,A1B 4J6,1,OK,4259.065
Waterford Valley,MHA,Tom Osborne,Tom,Osborne, A1B 4J6,38,"St. John's, NL A1B 4J6, Canada",,,47.555656,-52.7660771,"47.555656,-52.7660771",APPROXIMATE,ChIJ_zr1AYOkDEsRw2vegi1BQgE,,postal_code,A1B 4J6, A1B 4J6,1,OK,4259.065
Windsor Lake,MHA,Ches Crosbie,Ches,Crosbie,,39,"800 W Laurel St, Independence, KS 67301, USA",,,37.2256055,-95.7162018,"37.2256055,-95.7162018",ROOFTOP,ChIJJ7DaD0cruIcRILKt06GMNBE,,"doctor,establishment,health,point_of_interest",67301,,1,OK,678.934
